测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_rsyslog_function_facility,fail,./oe-rv2309/mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_facility/2023-08-08-00_47_50.log,
,oe_test_rsyslog_function_imfile,fail,./oe-rv2309/mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_imfile/2023-08-08-00_50_06.log,
,oe_test_rsyslog_function_priority,fail,./oe-rv2309/mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_priority/2023-08-08-00_51_49.log,
,oe_test_rsyslog_function_rainerscript,fail,./oe-rv2309/mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_rainerscript/2023-08-08-00_52_45.log,
,oe_test_rsyslog_function_shell,fail,./oe-rv2309/mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_shell/2023-08-08-00_54_10.log,
,oe_test_rsyslog_function_template,fail,./oe-rv2309/mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_template/2023-08-08-01_25_45.log,
,oe_test_rsyslog_function_wildcard,fail,./oe-rv2309/mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_wildcard/2023-08-08-01_26_41.log,
,oe_test_rsyslog_parameter01,fail,./oe-rv2309/mugen-riscv/logs/rsyslog/oe_test_rsyslog_parameter01/2023-08-08-01_27_07.log,
,oe_test_rsyslog_parameter02,fail,./oe-rv2309/mugen-riscv/logs/rsyslog/oe_test_rsyslog_parameter02/2023-08-08-01_27_22.log,
,oe_test_rsyslog_parameter03,fail,./oe-rv2309/mugen-riscv/logs/rsyslog/oe_test_rsyslog_parameter03/2023-08-08-01_27_35.log,
,oe_test_rsyslog_parameter04,fail,./oe-rv2309/mugen-riscv/logs/rsyslog/oe_test_rsyslog_parameter04/2023-08-08-01_57_42.log,
