测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_service_systemd-journal-remote,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_systemd-journal-remote/2023-09-13-21:47:06.log,x86 fail
,oe_test_service_systemd-journald,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_systemd-journald/2023-09-13-21:44:49.log,systemd stop命令失败
,oe_test_socket_systemd-rfkill,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_socket_systemd-rfkill/2023-09-13-22:11:43.log,x86 fail
,oe_test_target_remote-fs,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_target_remote-fs/2023-09-13-22:25:44.log,systemd enable后找不到对应文件
,oe_test_service_systemd-fsck-root,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_systemd-fsck-root/2023-09-13-21:40:11.log,x86 fail
,oe_test_service_dbus-org.freedesktop.portable1,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_dbus-org.freedesktop.portable1/2023-09-13-21:32:23.log,x86 fail
,oe_test_service_dbus-org.freedesktop.import1,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_dbus-org.freedesktop.import1/2023-09-13-21:28:08.log,x86 fail
,oe_test_target_reboot,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_target_reboot/2023-09-13-22:24:40.log,systemd enable后找不到对应文件
,oe_test_service_systemd-journal-upload,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_systemd-journal-upload/2023-09-13-21:48:26.log,x86 fail
,oe_test_service_systemd-udevd,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_systemd-udevd/2023-09-13-22:01:47.log,x86 fail
