测试套/软件包名,测试用例名,状态,与2303对比,日志文件,原因
,oe_test_socket_libvirtd-ro,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_socket_libvirtd-ro/2023-08-09-02:42:18.log,
,oe_test_socket_libvirtd-tcp,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_socket_libvirtd-tcp/2023-08-09-02:44:08.log,
,oe_test_socket_libvirtd-tls,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_socket_libvirtd-tls/2023-08-09-02:45:02.log,
,oe_test_socket_virtinterfaced,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_socket_virtinterfaced/2023-08-09-02:48:56.log,
,oe_test_socket_virtinterfaced-admin,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_socket_virtinterfaced-admin/2023-08-09-02:45:56.log,
,oe_test_socket_virtlockd,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_socket_virtlockd/2023-08-09-02:51:20.log,
,oe_test_socket_virtlockd-admin,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_socket_virtlockd-admin/2023-08-09-02:50:26.log,
,oe_test_socket_virtlogd,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_socket_virtlogd/2023-08-09-02:53:06.log,
,oe_test_socket_virtlogd-admin,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_socket_virtlogd-admin/2023-08-09-02:52:12.log,
,oe_test_socket_virtnetworkd,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_socket_virtnetworkd/2023-08-09-02:57:04.log,
,oe_test_socket_virtnetworkd-ro,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_socket_virtnetworkd-ro/2023-08-09-02:55:31.log,
,oe_test_socket_virtnodedevd,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_socket_virtnodedevd/2023-08-09-03:01:35.log,
,oe_test_socket_virtnodedevd-admin,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_socket_virtnodedevd-admin/2023-08-09-02:58:34.log,
,oe_test_socket_virtnodedevd-ro,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_socket_virtnodedevd-ro/2023-08-09-03:00:05.log,
,oe_test_socket_virtnwfilterd,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_socket_virtnwfilterd/2023-08-09-03:06:04.log,
,oe_test_socket_virtnwfilterd-admin,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_socket_virtnwfilterd-admin/2023-08-09-03:03:06.log,
,oe_test_socket_virtnwfilterd-ro,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_socket_virtnwfilterd-ro/2023-08-09-03:04:34.log,
